2026-03-24 18:06:23 | INFO     | mangabuff | ======================================================================
2026-03-24 18:06:23 | INFO     | mangabuff | MangaBuff v2.8.1 - Запуск приложения
2026-03-24 18:06:23 | INFO     | mangabuff | ======================================================================
2026-03-24 18:06:23 | INFO     | mangabuff | Уровень логирования: DEBUG
2026-03-24 18:06:23 | INFO     | mangabuff | Debug mode: False | Dry run: False
2026-03-24 18:06:23 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-24 18:06:23 | INFO     | mangabuff | ======================================================================
2026-03-24 18:06:23 | INFO     | mangabuff | Инициализация приложения MangaBuff v2.8.1
2026-03-24 18:06:23 | INFO     | mangabuff | ======================================================================
2026-03-24 18:06:23 | INFO     | mangabuff | Rate Limiting: 70 req/min
2026-03-24 18:06:23 | INFO     | mangabuff | Вход в аккаунт...
2026-03-24 18:06:24 | INFO     | mangabuff | Авторизация успешна
2026-03-24 18:06:24 | INFO     | mangabuff | Инициализация менеджера статистики...
2026-03-24 18:06:24 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-24 18:06:25 | INFO     | mangabuff | Инициализация монитора истории обменов...
2026-03-24 18:06:25 | INFO     | mangabuff | Монитор истории запущен (проверка каждые 10с)
2026-03-24 18:06:28 | INFO     | mangabuff | Загружено карточек с сервера (без фильтра): 6195
2026-03-24 18:06:28 | INFO     | mangabuff | После фильтрации: 4594 карт. Пропущено 1601: {'S': 241, 'A': 37, 'P': 40, 'G': 485, 'B': 789, 'V': 9}
2026-03-24 18:06:28 | INFO     | mangabuff | Загружено карточек: 4594
2026-03-24 18:06:28 | DEBUG    | mangabuff | Инвентарь сохранен в файл
2026-03-24 18:06:28 | INFO     | mangabuff | Синхронизация инвентаря с пропарсенными данными...
2026-03-24 18:06:28 | INFO     | mangabuff | Синхронизация завершена успешно
2026-03-24 18:06:28 | INFO     | mangabuff | Загрузка информации о буст-карте...
2026-03-24 18:06:30 | INFO     | mangabuff | Буст-карта загружена: ОО2 (ID: 188148)
2026-03-24 18:06:30 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ ПРИ ЗАГРУЗКЕ КАРТЫ
2026-03-24 18:06:30 | INFO     | mangabuff | Владельцев: 774, Желающих: 510
2026-03-24 18:06:30 | DEBUG    | mangabuff | Буст-карта сохранена в boost_card.json
2026-03-24 18:06:30 | INFO     | mangabuff | Запуск монитора буста для карты ID: 188148...
2026-03-24 18:06:30 | INFO     | mangabuff | Монитор запущен для карты ID: 188148
2026-03-24 18:06:30 | DEBUG    | mangabuff | Инициализация OwnersProcessor
2026-03-24 18:06:30 | INFO     | mangabuff | Запуск режима обработки владельцев
2026-03-24 18:06:30 | INFO     | mangabuff | ======================================================================
2026-03-24 18:06:30 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ В ЦИКЛЕ
2026-03-24 18:06:30 | INFO     | mangabuff | Карта: ОО2 (ID: 188148)
2026-03-24 18:06:30 | INFO     | mangabuff | Обработка карты: ОО2 (ID: 188148)
2026-03-24 18:06:31 | INFO     | mangabuff | Начало обработки владельцев карты 188148
2026-03-24 18:06:32 | INFO     | mangabuff | Начало выбора карты: rank=E, target_wanters=510 (норм: 510)
2026-03-24 18:06:32 | INFO     | mangabuff | Доступно непропарсенных карт ранга E: 1119
2026-03-24 18:06:32 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 510, normalized: 510)
2026-03-24 18:06:32 | DEBUG    | mangabuff | Парсинг карты: Бандиты (ID: 203757)
2026-03-24 18:06:32 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Бандиты (4 желающих) после 1 проверок
2026-03-24 18:06:33 | INFO     | mangabuff | Начало выбора карты: rank=E, target_wanters=510 (норм: 510)
2026-03-24 18:06:33 | INFO     | mangabuff | Доступно непропарсенных карт ранга E: 1118
2026-03-24 18:06:33 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 510, normalized: 510)
2026-03-24 18:06:33 | DEBUG    | mangabuff | Парсинг карты: Минори Кусиэда (ID: 153635)
2026-03-24 18:06:34 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Минори Кусиэда (44 желающих) после 1 проверок
2026-03-24 18:06:50 | INFO     | mangabuff | Начало выбора карты: rank=E, target_wanters=510 (норм: 510)
2026-03-24 18:06:50 | INFO     | mangabuff | Доступно непропарсенных карт ранга E: 1117
2026-03-24 18:06:50 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 510, normalized: 510)
2026-03-24 18:06:50 | DEBUG    | mangabuff | Парсинг карты: Обезьянка (ID: 226935)
2026-03-24 18:06:50 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Обезьянка (21 желающих) после 1 проверок
2026-03-24 18:07:07 | INFO     | mangabuff | ⚡ Обнаружено прерывание: карта изменилась
2026-03-24 18:07:07 | INFO     | mangabuff | 🔄 Карта изменилась во время обработки!
2026-03-24 18:07:07 | INFO     | mangabuff | 📥 Загрузка новой карты после прерывания...
2026-03-24 18:07:07 | INFO     | mangabuff | Загрузка информации о буст-карте...
2026-03-24 18:07:09 | INFO     | mangabuff | Буст-карта загружена: Гобуми (ID: 63034)
2026-03-24 18:07:09 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ ПРИ ЗАГРУЗКЕ КАРТЫ
2026-03-24 18:07:09 | INFO     | mangabuff | Владельцев: 1350, Желающих: 10
2026-03-24 18:07:09 | DEBUG    | mangabuff | Буст-карта сохранена в boost_card.json
2026-03-24 18:07:09 | INFO     | mangabuff | 🚩 Сброс флагов прерывания...
2026-03-24 18:07:10 | INFO     | mangabuff | ======================================================================
2026-03-24 18:07:10 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ В ЦИКЛЕ
2026-03-24 18:07:10 | INFO     | mangabuff | Карта: Гобуми (ID: 63034)
2026-03-24 18:07:10 | INFO     | mangabuff | Обработка карты: Гобуми (ID: 63034)
2026-03-24 18:07:10 | INFO     | mangabuff | Начало обработки владельцев карты 63034
2026-03-24 18:07:11 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:07:11 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2648
2026-03-24 18:07:11 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:07:11 | DEBUG    | mangabuff | Парсинг карты: Найбхани (ID: 312953)
2026-03-24 18:07:12 | DEBUG    | mangabuff | Карта Найбхани пропущена: 212 желающих
2026-03-24 18:07:12 | DEBUG    | mangabuff | Парсинг карты: Ким Хён Сон (ID: 294226)
2026-03-24 18:07:14 | DEBUG    | mangabuff | Карта Ким Хён Сон пропущена: 213 желающих
2026-03-24 18:07:14 | DEBUG    | mangabuff | Парсинг карты: Руруция (ID: 266332)
2026-03-24 18:07:15 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Руруция (2 желающих) после 3 проверок
2026-03-24 18:07:31 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:07:31 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2645
2026-03-24 18:07:31 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:07:31 | DEBUG    | mangabuff | Парсинг карты: Сосуке Шима (ID: 133954)
2026-03-24 18:07:31 | DEBUG    | mangabuff | Альтернатива обновлена: Сосуке Шима (55)
2026-03-24 18:07:31 | DEBUG    | mangabuff | Парсинг карты: Бенджамин (ID: 56745)
2026-03-24 18:07:32 | DEBUG    | mangabuff | Альтернатива обновлена: Бенджамин (20)
2026-03-24 18:07:32 | DEBUG    | mangabuff | Парсинг карты: Мия (ID: 16027)
2026-03-24 18:07:32 | DEBUG    | mangabuff | Парсинг карты: Яппи (ID: 309943)
2026-03-24 18:07:34 | DEBUG    | mangabuff | Парсинг карты: Алтэйр (ID: 41673)
2026-03-24 18:07:34 | DEBUG    | mangabuff | Сохранено 5 пропарсенных карт
2026-03-24 18:07:35 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Алтэйр (3 желающих) после 5 проверок
2026-03-24 18:07:50 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:07:50 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2640
2026-03-24 18:07:50 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:07:50 | DEBUG    | mangabuff | Парсинг карты: Джулианна (ID: 146428)
2026-03-24 18:07:51 | DEBUG    | mangabuff | Альтернатива обновлена: Джулианна (35)
2026-03-24 18:07:51 | DEBUG    | mangabuff | Парсинг карты: Аки и Сигэмаса (ID: 125048)
2026-03-24 18:07:51 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Аки и Сигэмаса (2 желающих) после 2 проверок
2026-03-24 18:07:54 | WARNING  | mangabuff | Прервано пользователем (Ctrl+C)
2026-03-24 18:07:57 | INFO     | mangabuff | ======================================================================
2026-03-24 18:07:57 | INFO     | mangabuff | MangaBuff v2.8.1 - Запуск приложения
2026-03-24 18:07:57 | INFO     | mangabuff | ======================================================================
2026-03-24 18:07:57 | INFO     | mangabuff | Уровень логирования: DEBUG
2026-03-24 18:07:57 | INFO     | mangabuff | Debug mode: False | Dry run: False
2026-03-24 18:07:57 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-24 18:07:57 | INFO     | mangabuff | ======================================================================
2026-03-24 18:07:57 | INFO     | mangabuff | Инициализация приложения MangaBuff v2.8.1
2026-03-24 18:07:57 | INFO     | mangabuff | ======================================================================
2026-03-24 18:07:57 | INFO     | mangabuff | Rate Limiting: 80 req/min
2026-03-24 18:07:57 | INFO     | mangabuff | Вход в аккаунт...
2026-03-24 18:07:59 | INFO     | mangabuff | Авторизация успешна
2026-03-24 18:07:59 | INFO     | mangabuff | Инициализация менеджера статистики...
2026-03-24 18:07:59 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-24 18:08:00 | INFO     | mangabuff | Инициализация монитора истории обменов...
